,S0,S1,S2,S3,S4,S5,S6
244,0,1,3,7,1,6,52
245,0,0,1,6,3,5,63
246,0,1,3,7,5,12,13
247,0,0,2,0,3,20,60
248,0,1,3,7,5,0,44
249,0,0,2,1,6,3,6
250,0,0,1,6,0,20,26
251,0,0,1,1,8,19,11
252,0,0,0,0,2,13,26
253,0,0,0,0,10,18,3
254,0,1,3,7,7,31,16
255,0,0,2,4,11,25,51
256,0,1,3,7,8,22,47
257,0,0,2,2,5,12,44
258,0,0,1,5,11,3,55
259,0,1,3,7,4,6,2
260,0,0,1,5,8,2,52
261,0,1,3,7,12,14,7
262,0,1,3,7,5,26,48
263,0,1,3,7,7,22,27
264,0,1,3,7,3,19,50
265,0,0,2,6,11,15,1
266,0,0,0,1,4,22,44
267,0,1,3,7,4,15,33
268,0,0,2,3,1,9,28
269,0,0,2,1,12,9,23
270,0,0,0,1,7,1,38
271,0,1,3,7,3,24,44
272,0,0,0,4,3,12,3
273,0,0,1,5,14,28,43
274,0,0,1,6,6,22,57
275,0,0,1,4,1,24,39
276,0,1,3,7,1,0,10
277,0,1,3,7,10,6,3
278,0,0,2,4,0,28,55
279,0,0,1,4,9,2,19
280,0,1,3,7,3,11,61
281,0,0,2,5,3,2,37
282,0,0,0,6,2,26,25
283,0,0,2,1,4,3,33
284,0,0,0,3,15,17,15
285,0,1,3,7,6,5,37
286,0,0,2,2,7,25,51
287,0,1,3,7,12,21,32
288,0,1,3,7,1,3,33
289,0,0,0,6,14,22,45
290,0,0,0,0,15,21,39
291,0,1,3,7,6,8,42
292,0,0,0,1,8,15,37
293,0,1,3,7,8,1,62
294,0,1,3,7,0,9,19
295,0,0,1,4,5,5,26
296,0,0,1,5,4,2,58
297,0,1,3,7,12,31,30
298,0,0,2,3,9,14,27
299,0,0,0,3,2,25,46
300,0,0,0,6,2,27,23
301,0,1,3,7,2,26,38
302,0,0,0,1,9,16,30
303,0,1,3,7,12,5,59
304,0,0,2,5,7,12,0
305,0,0,2,0,3,4,33
306,0,1,3,7,1,15,57
307,0,0,0,2,0,28,33
308,0,0,2,1,7,20,40
309,0,0,2,4,13,10,49
310,0,1,3,7,3,17,20
311,0,1,3,7,14,1,60
312,0,1,3,7,4,20,46
313,0,1,3,7,13,7,47
314,0,0,0,2,0,31,7
315,0,0,1,6,12,7,41
316,0,1,3,7,9,4,25
317,0,1,3,7,13,15,35
318,0,0,2,6,6,22,62
319,0,0,1,2,0,24,8
320,0,0,2,4,10,24,24
321,0,0,2,1,14,2,43
322,0,1,3,7,3,2,27
323,0,1,3,7,12,5,55
324,0,0,1,6,12,6,13
325,0,1,3,7,0,23,48
326,0,1,3,7,5,30,39
327,0,0,2,2,8,28,18
328,0,1,3,7,3,12,26
329,0,0,1,4,10,22,63
330,0,0,1,2,6,11,31
331,0,0,2,3,11,0,23
332,0,1,3,7,5,3,0
333,0,0,1,0,14,4,48
334,0,0,1,2,13,1,45
335,0,1,3,7,4,30,59
336,0,0,1,5,6,13,37
337,0,1,3,7,1,15,29
338,0,1,3,7,4,5,22
339,0,1,3,7,5,21,41
340,0,0,1,3,8,7,24
341,0,1,3,7,8,8,53
342,0,0,1,5,2,5,33
343,0,1,3,7,12,30,24
344,0,1,3,7,3,26,32
345,0,0,2,1,14,5,31
346,0,0,0,4,2,8,34
347,0,0,0,4,3,20,50
348,0,0,0,5,13,31,51
349,0,1,3,7,12,16,6
350,0,0,1,0,8,11,63
351,0,1,3,7,10,19,16
352,0,1,3,7,15,30,48
353,0,0,0,1,15,8,7
354,0,0,0,4,8,4,49
355,0,0,1,6,10,23,30
356,0,1,3,7,4,22,6
357,0,0,2,4,3,29,43
358,0,1,3,7,15,7,19
359,0,0,1,4,0,11,12
360,0,0,1,4,14,27,44
361,0,1,3,7,0,16,41
362,0,1,3,7,13,10,18
363,0,0,1,4,12,4,17
364,0,0,1,1,14,11,4
365,0,0,1,1,2,7,56
366,0,0,0,1,14,15,59
367,0,1,3,7,13,5,7
368,0,0,1,4,9,31,29
369,0,0,1,5,7,27,40
370,0,0,1,2,10,7,56
371,0,0,0,4,3,19,60
372,0,1,3,7,4,18,62
373,0,1,3,7,5,14,13
374,0,0,2,5,11,11,45
375,0,1,3,7,13,31,35
376,0,0,0,0,8,13,20
377,0,1,3,7,7,27,1
378,0,0,2,0,2,31,18
379,0,0,1,6,13,4,24
380,0,1,3,7,12,31,59
381,0,0,1,6,14,20,29
382,0,1,3,7,6,15,34
383,0,0,1,2,9,3,31
384,0,0,2,2,15,10,63
385,0,0,2,5,11,4,33
386,0,1,3,7,6,31,61
387,0,0,0,1,7,7,38
388,0,1,3,7,11,5,37
389,0,0,1,1,2,21,22
390,0,0,1,1,10,5,46
391,0,1,3,7,11,18,56
392,0,1,3,7,15,1,6
393,0,0,2,2,7,12,29
394,0,0,1,2,5,0,3
395,0,1,3,7,12,21,30
396,0,1,3,7,11,23,30
397,0,0,2,6,0,0,24
398,0,1,3,7,1,17,9
399,0,0,0,0,6,14,6
400,0,0,0,3,7,29,56
401,0,0,2,2,7,30,19
402,0,0,2,1,10,19,42
403,0,1,3,7,12,28,18
404,0,0,1,1,3,0,5
405,0,0,2,1,10,26,38
406,0,0,2,0,3,28,42
407,0,0,1,5,15,10,58
408,0,1,3,7,6,19,13
409,0,1,3,7,8,3,63
410,0,1,3,7,10,6,33
411,0,1,3,7,6,22,12
412,0,0,1,1,8,8,46
413,0,0,2,2,0,6,9
414,0,1,3,7,1,8,43
415,0,1,3,7,2,10,24
416,0,1,3,7,0,11,29
417,0,1,3,7,7,17,6
418,0,1,3,7,6,27,42
419,0,0,1,6,10,30,11
420,0,0,0,0,13,24,59
421,0,0,2,0,15,14,46
422,0,1,3,7,14,7,33
423,0,1,3,7,13,24,31
424,0,1,3,7,2,7,18
425,0,0,1,0,4,12,34
426,0,0,1,3,9,25,44
427,0,0,2,5,0,13,46
428,0,0,1,5,10,15,33
429,0,0,2,4,14,5,8
430,0,0,0,6,5,6,17
431,0,1,3,7,6,26,28
432,0,0,1,5,10,11,15
433,0,0,2,2,3,26,29
434,0,0,2,3,9,11,2
435,0,0,2,4,12,9,60
436,0,1,3,7,14,9,28
437,0,0,0,1,14,18,57
438,0,0,2,3,9,22,22
439,0,0,0,2,12,31,39
440,0,1,3,7,6,15,32
441,0,0,1,4,2,16,4
442,0,0,2,6,12,28,59
443,0,1,3,7,9,2,59
444,0,1,3,7,14,31,32
445,0,1,3,7,13,25,23
446,0,0,1,0,1,12,54
447,0,1,3,7,1,22,9
448,0,1,3,7,6,6,27
449,0,0,1,1,5,21,24
450,0,0,0,3,2,16,47
451,0,1,3,7,7,18,61
452,0,1,3,7,7,24,50
453,0,0,2,3,13,28,14
454,0,0,1,3,10,12,55
455,0,0,1,0,2,10,9
456,0,0,0,6,3,22,50
457,0,0,1,0,13,14,13
458,0,0,1,3,6,3,34
459,0,0,0,6,9,2,51
460,0,0,0,5,11,0,18
461,0,0,2,4,1,8,56
462,0,1,3,7,4,19,27
463,0,1,3,7,15,11,20
464,0,0,1,0,8,24,50
465,0,1,3,7,7,23,4
466,0,0,2,1,15,1,14
467,0,0,1,5,6,31,7
468,0,0,1,3,1,14,42
469,0,1,3,7,11,26,63
470,0,0,1,6,3,22,32
471,0,0,2,5,1,8,54
472,0,0,1,6,5,5,7
473,0,1,3,7,4,6,24
474,0,0,1,5,14,26,11
475,0,0,1,0,2,9,10
476,0,1,3,7,14,17,46
477,0,0,1,4,2,7,33
478,0,0,0,3,6,3,40
479,0,0,2,5,9,18,60
480,0,1,3,7,0,2,32
481,0,0,1,6,3,13,25
482,0,0,1,0,8,7,31
483,0,0,2,5,13,8,12
484,0,0,2,5,11,13,28
485,0,0,1,1,5,25,48
486,0,0,0,4,0,6,32
487,0,0,1,0,11,8,50
488,0,1,3,7,11,8,11
489,0,1,3,7,0,16,46
490,0,1,3,7,4,12,22
491,0,0,2,2,13,17,34
492,0,0,0,0,4,3,51
493,0,0,2,5,8,4,36
494,0,0,1,3,4,28,20
495,0,1,3,7,12,5,31
496,0,0,1,3,0,28,31
497,0,0,1,6,7,20,29
498,0,0,2,1,11,9,34
499,0,0,0,3,0,14,4
500,0,0,2,2,10,13,38
501,0,0,0,4,1,28,2
502,0,0,1,1,13,13,28
503,0,0,1,3,13,8,0
504,0,0,2,5,13,3,43
505,0,1,3,7,5,23,55
506,0,1,3,7,9,10,36
507,0,1,3,7,15,8,29
508,0,0,0,5,3,30,60
509,0,0,1,6,1,19,37
510,0,0,2,3,14,16,44
511,0,0,2,1,4,27,17
512,0,0,2,4,15,31,21
513,0,0,1,0,11,0,29
514,0,0,1,2,1,17,32
515,0,1,3,7,11,19,51
516,0,1,3,7,2,15,46
517,0,0,2,5,13,8,47
518,0,1,3,7,10,12,23
519,0,1,3,7,3,14,5
520,0,1,3,7,14,1,56
521,0,0,0,5,1,20,60
522,0,0,0,3,10,3,42
523,0,0,2,3,15,10,9
524,0,1,3,7,13,21,11
525,0,1,3,7,3,15,27
526,0,0,0,4,8,8,19
527,0,0,2,5,8,17,20
528,0,0,0,1,2,31,35
529,0,1,3,7,14,9,24
530,0,1,3,7,10,12,10
531,0,1,3,7,2,0,38
532,0,0,0,0,15,1,41
533,0,0,2,6,11,15,36
534,0,1,3,7,6,8,10
535,0,0,1,6,0,20,5
536,0,0,2,5,7,1,49
537,0,0,1,1,8,22,41
538,0,1,3,7,10,19,32
539,0,0,1,5,10,2,57
540,0,0,1,4,7,10,42
541,0,1,3,7,5,2,57
542,0,0,1,6,5,29,20
543,0,0,1,5,13,18,56
544,0,0,2,5,8,22,47
545,0,0,2,1,7,27,4
546,0,0,1,0,9,28,46
547,0,1,3,7,3,29,56
548,0,1,3,7,8,30,9
549,0,1,3,7,14,27,60
550,0,0,0,4,2,2,27
551,0,1,3,7,11,31,61
552,0,1,3,7,0,13,3
553,0,1,3,7,1,12,3
554,0,0,2,3,3,24,40
555,0,0,0,1,13,22,38
556,0,0,1,2,13,5,56
557,0,0,2,4,13,15,55
558,0,1,3,7,5,12,31
559,0,0,2,4,3,10,12
560,0,0,1,5,9,3,40
561,0,0,1,5,4,26,41
562,0,0,1,5,9,5,58
563,0,0,1,1,2,6,38
564,0,0,2,2,10,24,30
565,0,0,1,0,10,20,8
566,0,1,3,7,15,25,9
567,0,0,0,3,2,0,3
568,0,0,2,5,12,5,61
569,0,0,2,0,10,26,55
570,0,0,2,2,0,22,26
571,0,1,3,7,4,2,58
572,0,0,1,3,0,21,34
573,0,1,3,7,13,13,38
574,0,0,0,0,2,27,45
575,0,1,3,7,14,23,20
576,0,0,0,3,14,25,41
577,0,0,0,0,7,17,38
578,0,0,2,2,6,31,21
579,0,1,3,7,5,26,49
580,0,0,0,5,4,5,40
581,0,0,0,4,13,28,4
582,0,0,0,5,5,11,43
583,0,0,2,4,5,5,37
584,0,0,0,4,10,30,39
585,0,0,0,5,11,15,56
586,0,0,2,0,8,28,32
587,0,1,3,7,14,1,4
588,0,0,2,0,4,25,14
589,0,1,3,7,15,31,56
590,0,0,1,3,7,25,57
591,0,0,1,5,13,24,46
592,0,1,3,7,10,11,14
593,0,0,2,0,4,18,62
594,0,1,3,7,1,29,8
595,0,1,3,7,1,30,24
596,0,0,0,4,2,15,60
597,0,0,2,0,13,24,56
598,0,0,0,3,12,19,23
599,0,0,1,6,2,12,43
600,0,1,3,7,11,25,60
601,0,0,1,3,9,21,29
602,0,0,0,1,2,28,37
603,0,0,2,2,1,11,60
604,0,0,2,1,14,16,17
605,0,0,1,0,10,9,14
606,0,1,3,7,4,10,60
607,0,0,0,3,15,30,50
608,0,0,0,0,10,22,8
609,0,1,3,7,3,1,4
610,0,0,1,6,4,16,4
611,0,0,0,2,7,18,48
612,0,0,2,1,4,7,10
613,0,0,2,5,14,17,52
614,0,0,2,3,4,3,28
615,0,0,2,3,10,12,49
616,0,1,3,7,9,24,3
617,0,0,1,2,7,31,15
618,0,1,3,7,7,2,55
619,0,0,2,0,12,28,32
620,0,1,3,7,14,21,61
621,0,0,1,6,6,2,44
622,0,0,1,5,14,28,5
623,0,0,2,3,6,8,18
624,0,0,1,0,2,31,37
625,0,1,3,7,2,29,58
626,0,0,1,0,6,3,36
627,0,0,0,4,5,18,37
628,0,0,0,6,3,8,10
629,0,0,2,6,7,7,16
630,0,0,2,6,3,7,2
631,0,1,3,7,2,9,59
632,0,1,3,7,7,30,28
633,0,0,0,0,1,27,39
634,0,0,1,3,5,19,28
635,0,1,3,7,12,11,30
636,0,0,1,3,9,31,42
637,0,0,1,2,2,12,11
638,0,1,3,7,12,5,36
639,0,1,3,7,13,24,45
640,0,1,3,7,4,21,43
641,0,1,3,7,10,24,39
642,0,0,0,4,8,14,48
643,0,0,1,1,8,27,3
644,0,1,3,7,2,19,2
645,0,1,3,7,7,21,7
646,0,0,0,5,11,22,33
647,0,1,3,7,11,22,36
648,0,0,1,0,15,27,4
649,0,1,3,7,8,14,19
650,0,0,0,4,2,20,49
651,0,1,3,7,4,1,12
652,0,0,2,3,8,3,58
653,0,0,0,0,0,23,19
654,0,1,3,7,5,1,2
655,0,0,0,3,13,26,40
656,0,0,1,2,7,13,18
657,0,0,1,5,1,22,37
658,0,0,2,0,15,2,24
659,0,0,2,4,11,29,55
660,0,1,3,7,0,17,18
661,0,0,1,0,0,13,34
662,0,0,0,2,15,0,20
663,0,0,1,5,8,12,3
664,0,1,3,7,15,13,10
665,0,0,2,2,2,16,41
666,0,0,0,5,13,27,33
667,0,0,0,6,11,19,5
668,0,0,0,1,8,22,38
669,0,1,3,7,3,27,60
670,0,0,0,0,13,14,3
671,0,0,1,0,12,2,35
672,0,1,3,7,6,2,24
673,0,0,1,5,8,0,3
674,0,0,1,4,5,2,18
675,0,0,0,2,5,15,32
676,0,1,3,7,0,6,3
677,0,0,2,5,7,14,53
678,0,0,1,4,5,3,22
679,0,0,0,1,15,10,0
680,0,1,3,7,12,17,15
681,0,0,2,2,8,17,51
682,0,0,2,2,13,20,49
683,0,0,0,3,0,7,48
684,0,0,1,5,11,11,25
685,0,0,0,3,14,12,52
686,0,0,2,2,4,19,56
687,0,0,0,1,13,13,63
688,0,0,2,0,6,5,63
689,0,0,1,1,7,17,3
690,0,0,1,2,3,22,54
691,0,0,2,4,15,27,23
692,0,1,3,7,4,4,43
693,0,0,2,4,7,6,13
694,0,1,3,7,7,29,52
695,0,1,3,7,11,3,30
696,0,1,3,7,9,16,32
697,0,0,1,2,9,0,46
698,0,0,1,4,11,4,36
699,0,0,1,5,10,20,60
700,0,1,3,7,15,0,33
701,0,1,3,7,0,21,19
702,0,0,2,2,15,21,58
703,0,0,0,2,13,24,29
704,0,0,1,0,15,26,57
705,0,0,1,2,7,14,1
706,0,0,1,1,12,17,0
707,0,0,2,2,12,12,19
708,0,1,3,7,8,13,15
709,0,0,2,5,0,6,13
710,0,1,3,7,10,19,44
711,0,1,3,7,13,25,37
712,0,0,1,5,8,16,51
713,0,1,3,7,7,20,30
714,0,1,3,7,7,11,7
715,0,0,2,1,10,25,18
716,0,0,2,4,2,9,27
717,0,1,3,7,5,20,26
718,0,0,2,0,5,20,42
719,0,0,2,0,10,30,40
720,0,0,2,3,12,14,16
721,0,0,2,6,9,25,8
722,0,1,3,7,6,30,46
723,0,1,3,7,5,23,53
724,0,0,1,6,15,14,51
725,0,0,2,5,12,24,35
726,0,0,1,3,15,0,12
727,0,1,3,7,15,20,34
728,0,0,2,6,11,3,49
729,0,0,2,0,6,31,58
730,0,0,2,6,10,17,63
731,0,0,0,2,14,12,22
732,0,0,0,4,15,29,60
733,0,0,1,6,5,10,5
734,0,0,1,0,9,14,47
735,0,1,3,7,12,29,51
736,0,0,2,2,12,12,20
737,0,0,0,2,4,5,5
738,0,0,2,3,0,2,37
739,0,0,0,6,3,20,53
740,0,0,0,3,1,4,17
741,0,0,0,5,13,15,3
742,0,1,3,7,3,4,34
743,0,0,1,5,12,31,2
744,0,1,3,7,9,15,36
745,0,0,1,3,8,3,25
746,0,1,3,7,11,19,54
747,0,0,0,4,15,6,14
748,0,0,2,4,3,1,5
749,0,0,0,2,8,13,53
750,0,0,2,0,4,31,45
751,0,1,3,7,13,5,21
752,0,0,2,1,9,9,46
753,0,0,1,5,8,1,31
754,0,0,0,4,6,24,38
755,0,1,3,7,7,3,28
756,0,0,2,0,0,1,6
757,0,0,0,2,10,9,29
758,0,0,0,0,12,14,43
759,0,0,1,3,15,20,35
760,0,0,2,3,6,20,3
761,0,0,1,6,4,13,26
762,0,0,1,5,2,27,13
763,0,1,3,7,2,23,1
764,0,0,1,3,3,21,40
765,0,1,3,7,9,22,11
766,0,1,3,7,2,10,2
767,0,0,0,6,11,2,31
768,0,0,0,4,12,29,13
769,0,0,2,0,8,23,5
770,0,1,3,7,1,23,28
771,0,0,1,2,10,30,39
772,0,1,3,7,0,28,9
773,0,0,1,5,6,3,45
774,0,0,2,2,15,2,60
775,0,0,2,2,0,0,14
776,0,0,2,4,11,21,12
777,0,0,2,0,15,23,16
778,0,1,3,7,7,21,52
779,0,0,2,0,7,27,6
780,0,0,2,4,15,24,20
781,0,1,3,7,3,21,8
782,0,0,2,2,9,13,33
783,0,0,2,1,9,13,36
784,0,0,1,6,5,16,50
785,0,0,2,0,12,8,54
786,0,0,0,2,12,26,2
787,0,1,3,7,3,27,55
788,0,1,3,7,0,17,42
789,0,0,0,5,8,12,45
790,0,1,3,7,4,19,54
791,0,1,3,7,8,22,27
792,0,0,1,4,4,10,62
793,0,0,1,5,4,1,52
794,0,0,2,0,3,31,31
795,0,1,3,7,11,15,47
796,0,0,1,4,1,26,3
797,0,1,3,7,11,29,18
798,0,0,2,2,14,20,22
799,0,0,0,3,3,11,50
800,0,1,3,7,10,3,16
801,0,1,3,7,5,23,20
802,0,0,2,0,14,4,34
803,0,0,2,5,3,9,0
804,0,0,0,0,8,12,28
805,0,0,1,5,15,11,23
806,0,0,2,1,14,25,34
807,0,0,0,3,9,28,14
808,0,1,3,7,12,11,31
809,0,0,2,3,5,3,63
810,0,0,0,1,13,25,6
811,0,0,0,4,10,20,48
812,0,1,3,7,0,5,20
813,0,0,2,4,10,16,31
814,0,1,3,7,15,28,26
815,0,0,0,3,13,2,29
816,0,0,2,4,11,20,3
817,0,0,2,5,2,17,23
818,0,0,1,4,3,24,8
819,0,0,1,3,15,2,24
820,0,0,0,0,15,6,22
821,0,1,3,7,13,25,13
822,0,0,1,3,3,0,15
823,0,0,1,0,3,30,13
824,0,0,1,5,11,7,48
825,0,0,2,2,10,14,12
826,0,0,0,1,11,9,43
827,0,0,0,4,9,15,15
828,0,0,2,2,1,27,0
829,0,0,2,0,8,23,35
830,0,0,1,1,6,15,18
831,0,1,3,7,9,17,0
832,0,0,1,1,5,29,49
833,0,0,2,4,8,26,34
834,0,0,0,4,2,25,42
835,0,0,2,0,2,11,11
836,0,1,3,7,7,15,13
837,0,0,0,0,13,9,13
838,0,0,0,1,6,24,49
839,0,1,3,7,9,31,45
840,0,0,2,2,10,14,16
841,0,1,3,7,11,23,55
842,0,1,3,7,7,21,19
843,0,0,0,6,5,21,62
844,0,0,0,3,13,18,0
845,0,0,0,4,11,3,53
846,0,1,3,7,0,15,26
847,0,1,3,7,12,11,58
848,0,1,3,7,11,19,62
849,0,0,2,0,9,28,4
850,0,0,0,5,1,1,30
851,0,1,3,7,15,19,32
852,0,0,1,6,11,11,7
853,0,1,3,7,3,30,27
854,0,1,3,7,0,8,25
855,0,0,0,1,7,25,31
856,0,0,2,2,9,16,18
857,0,1,3,7,9,28,37
858,0,1,3,7,11,18,13
859,0,0,2,0,7,22,55
860,0,0,1,2,0,31,1
861,0,1,3,7,14,7,17
862,0,0,2,4,1,20,31
863,0,0,1,4,6,22,21
864,0,1,3,7,10,17,46
865,0,0,1,4,2,12,35
866,0,0,2,4,9,17,35
867,0,0,0,3,9,4,18
868,0,1,3,7,3,27,63
869,0,0,0,6,8,0,54
870,0,1,3,7,7,9,47
871,0,1,3,7,15,21,46
